epoch:0 batch:0  loss_ce:0.41287437081336975   loss_bbox:0.03153148293495178    loss_giou:0.4838481843471527    train_loss:1.538228154182434
epoch:0 batch:5  loss_ce:0.4175657033920288   loss_bbox:0.030951691791415215    loss_giou:0.4138658344745636    train_loss:1.4000558853149414
epoch:0 batch:10  loss_ce:0.46917423605918884   loss_bbox:0.042299263179302216    loss_giou:0.5372063517570496    train_loss:1.7550833225250244
epoch:0 batch:15  loss_ce:0.3877352178096771   loss_bbox:0.03034503385424614    loss_giou:0.4527187943458557    train_loss:1.444898009300232
epoch:1 batch:0  loss_ce:0.4040376543998718   loss_bbox:0.039504602551460266    loss_giou:0.5985753536224365    train_loss:1.7987112998962402
epoch:1 batch:5  loss_ce:0.48141276836395264   loss_bbox:0.03754515200853348    loss_giou:0.5575973391532898    train_loss:1.7843332290649414
epoch:1 batch:10  loss_ce:0.4173899292945862   loss_bbox:0.03067553974688053    loss_giou:0.4378998875617981    train_loss:1.446567416191101
epoch:1 batch:15  loss_ce:0.45497551560401917   loss_bbox:0.031358879059553146    loss_giou:0.44751691818237305    train_loss:1.5068037509918213
epoch:2 batch:0  loss_ce:0.39619359374046326   loss_bbox:0.02845480479300022    loss_giou:0.3601495921611786    train_loss:1.2587668895721436
epoch:2 batch:5  loss_ce:0.45724451541900635   loss_bbox:0.0391509085893631    loss_giou:0.5155155062675476    train_loss:1.6840300559997559
epoch:2 batch:10  loss_ce:0.3875105082988739   loss_bbox:0.027925953269004822    loss_giou:0.4330669343471527    train_loss:1.3932740688323975
epoch:2 batch:15  loss_ce:0.42626604437828064   loss_bbox:0.032246705144643784    loss_giou:0.43849849700927734    train_loss:1.4644966125488281
epoch:3 batch:0  loss_ce:0.401005357503891   loss_bbox:0.03410588949918747    loss_giou:0.5330897569656372    train_loss:1.6377143859863281
epoch:3 batch:5  loss_ce:0.45131874084472656   loss_bbox:0.030850203707814217    loss_giou:0.4672742784023285    train_loss:1.5401183366775513
epoch:3 batch:10  loss_ce:0.4094019830226898   loss_bbox:0.028048325330018997    loss_giou:0.42654868960380554    train_loss:1.4027409553527832
epoch:3 batch:15  loss_ce:0.43664979934692383   loss_bbox:0.022532684728503227    loss_giou:0.3901694118976593    train_loss:1.3296520709991455
epoch:4 batch:0  loss_ce:0.3706413209438324   loss_bbox:0.02763289026916027    loss_giou:0.37268897891044617    train_loss:1.2541837692260742
epoch:4 batch:5  loss_ce:0.3986762762069702   loss_bbox:0.03966953232884407    loss_giou:0.4952543377876282    train_loss:1.587532639503479
epoch:4 batch:10  loss_ce:0.4107133150100708   loss_bbox:0.027263619005680084    loss_giou:0.515684187412262    train_loss:1.5783997774124146
